smiles,pka
CCn1ccc(N)n1,3.79
Cc1cnc(N)cn1,2.22
OCCCc1ccccn1,5.57
OCCCc1cccnc1,5.55
OCCCc1ccncc1,5.7
Cc1cccnc1CCO,5.74
OCc1cn[nH]c1,2.32
CCOc1ncccc1N,3.34
CN(C)C(=N)CS,12.96
CN1C=CSCC1=N,10.14
C/N=C1/NCCS1,9.5
CCCN1CCSC1=N,9.97
Cn1ccc(=N)s1,10.28
CN1C=CCSC1=N,9.93
CCN1CCCSC1=N,10.26
C/N=C1\CCCN1,11.94
NCP(=O)(O)CN,9.59
CC(CN)C(=O)O,10.32
NCC(F)C(=O)O,9.0
C=CCNC1CCCC1,10.06
CN1CCN(N)CC1,7.71
N#Cc1ccccc1N,2.39
CNC1CC2CCC1C2,10.73
CC1CCCC(N)=N1,11.54
CC1CCN=C(N)C1,11.73
CC1CCC(N)=NC1,11.73
NCCc1c[nH]cn1,9.58
Cn1cnc(CCN)c1,9.57
Cc1ccc(CN)cc1,9.34
NCc1ccc(F)cc1,9.23
Cc1cccc(CN)c1,9.34
NCc1cccc(F)c1,9.12
OC1CN2CCC1CC2,9.1
Nc1ccc(Cl)cc1,3.49
CCCCCCCC(O)CN,9.59
NCC(O)C1CCCC1,9.58
NCC1(O)CCCCC1,9.64
CCC(CC)C(O)CN,9.58
CC(N)c1ccccc1,9.52
NNc1nncc(O)n1,7.12
CN(C)CC(O)CON,8.9
C#CCNCC(O)CON,8.57
NC[C@H](O)CON,9.52
C=CCNCC(O)CON,9.1
C=C(C)n1ccnc1,6.14
CNCC(C)C(=O)O,10.42
CC1ONC(=O)C1N,8.44
CC1NCC(=O)N1O,4.49
CC1NCN(O)C1=O,5.17
NCCCP(=O)(O)O,10.22
NC/C=C\C(=O)O,9.66
NC/C=C/C(=O)O,9.66
CCCNCCCCNCCCN,10.94
CCCNCCCNCCCCN,10.81
CNCCCCNCCCCNC,11.1
NCCCCCNCCCCCN,10.95
CCNCCCNCCCNCC,10.66
CCNc1nnc(S)s1,0.12
NCc1cccc(I)c1,9.2
NC/C=C/C(N)CF,9.69
NCCCC(N)C(F)F,10.21
NCC1CC(=O)NO1,9.32
COc1ccc(N)cc1,5.11
Cc1nccc(O)c1O,4.17
CCCc1nsc(N)n1,2.67
CNCCCc1ccccc1,10.27
NC1=NC(=O)CN1,9.14
CC(C)CSC(=N)N,10.59
OC1CNCCNCCNC1,9.7
Nc1ccc(Br)cc1,3.83
Nc1cc(Cl)ccn1,5.68
Cc1ccc(N)nc1C,7.95
CCc1ccnc(N)c1,7.52
Cc1ccnc(N)c1N,8.19
C=C=CCNCCCCNC,10.58
Cc1cnc(N)cc1C,7.98
Cc1ccnc(N)c1C,8.04
c1cn2ccnc2cn1,3.26
Cc1sc(NN)nc1O,4.01
CC(C)NC(=N)NO,10.77
CCCCCNCC(N)=O,9.03
NCCC(N)C(=O)O,9.95
CC(CN)CC(=O)O,10.24
NC(CCS)C(=O)O,9.41
Cc1c(O)noc1CN,4.99
NCCCCc1ccccc1,10.21
NCC1NCC(O)C1O,9.57
CC1N=CC(O)C1O,5.3
CC(C)CC(N)C=O,8.08
NCCCNCCCNCCCN,10.55
NCC(O)CC(=O)O,9.6
CC(N)Cc1cccs1,9.82
CCCCCCn1ccnc1,6.54
COc1ccccc1CCN,9.71
CC1CCN=C(N)S1,9.48
CCC1COC(N)=N1,7.41
CCC1CN=C(N)O1,7.63
NCC#Cc1ccccc1,8.55
CCC/N=C(/N)NO,10.29
NCCc1csc(N)n1,9.53
NCCc1cnc(N)s1,9.58
CCCCCCCCCCCCN,10.21
CP(=O)(O)CCCN,10.21
NCCC[PH](=O)O,10.21
CNCCOc1cccnc1,9.46
COc1ccnc(N)c1,8.2
NCc1ccc(O)nc1,8.96
Nc1cc(O)ncc1F,0.94
Nc1cccc(Cl)c1,3.47
Nc1ccnc(O)c1F,1.22
OCCNCc1ccccc1,8.89
CN(C)c1ncccn1,3.3
Cc1ccnc(C)c1O,7.03
CNCCOc1ccccc1,9.52
NCCNCCNCCNCCN,9.81
CCCCCNCC(=O)O,10.56
O=C(O)C1CSCN1,7.7
NC(N)c1ccccc1,7.8
NCCOP(=O)(O)O,10.02
NCc1ccc(N)cc1,9.43
CC1CNCC(O)C1O,9.27
Cc1ccnn1CC#CI,2.84
CCCc1cn[nH]c1,2.6
CC(N)CCNCCCCN,10.73
NC1CCN(O)C1=O,8.58
COC(C)N(C)N=O,2.42
CCCCOCN(C)N=O,2.51
CCCCN(CCO)N=O,3.22
CNC(CS)C(=O)O,10.53
N#CSCc1ccncc1,5.03
CCN(CC)CCSC#N,8.14
NCC#Cc1cccnc1,8.52
Nc1onc2c1CCC2,2.76
CCC1CN=C(N)C1,11.61
CC1CC(N)=NC1C,11.36
CC1CN=C(N)C1C,11.6
CN(C)c1ccccc1,5.02
CCNCCc1cccnc1,10.02
NCc1ccc(O)cc1,9.06
c1cnc2nccn2c1,3.35
NCCc1ccccc1Cl,9.7
c1ccn2ccnc2c1,6.34
NCCc1nnn[nH]1,9.84
NCCCCc1nonc1O,10.21
CNCCCc1cccnc1,10.22
CCc1ccc(C)nc1,6.19
N#CCCN1CCNCC1,9.21
C=CCNCC(O)CCl,8.72
NCCS(=O)(=O)O,9.34
CP(=O)(O)OCCN,10.0
O=C(O)c1cnsc1,0.61
Nc1ccc(O)cc1O,5.41
Nc1c(O)cccc1O,4.63
c1ccc2scnc2c1,2.28
NCCc1ccccc1Br,9.72
CNCCc1ccccc1F,9.87
C/C=N\NC(N)=S,3.63
N=C(N)n1cccn1,9.41
Cc1ccc(N)cc1N,5.58
NC(CO)C(=O)NO,7.43
NCCCCCCCCCCCN,10.51
CNC(CS)CC(C)C,11.14
CC(=O)NC(=N)N,9.29
O=C(O)CC1CNC1,10.74
O=C(O)CC1CCN1,10.59
CNCc1ccccc1Cl,8.56
NCCCC(=O)NCCN,10.05
CCCNCc1ccccc1,9.63
C#CCN(C)CCCCC,8.91
CC(C)NCC(O)CO,9.57
NCCc1nnc(O)o1,9.33
NCCc1nnc(S)o1,9.37
CNCc1nnc(S)o1,6.43
CNCc1nnc(O)o1,6.95
CCNc1cnccc1CN,8.64
CC(C)SCCNCCCN,10.14
N#CCCN1CCOCC1,5.16
N#CCCN1CCCCC1,7.4
CCC1CCCCN=C1N,11.72
CN(C)CCCCSC#N,9.79
CCNc1ccccc1CN,8.87
NCCc1cc[nH]n1,9.56
NOC1CCC(N)CC1,10.45
CC1CC(ON)CCN1,10.1
NOCC1CCC(N)C1,10.44
CNCP(=O)(O)CO,8.5
NCCCCCCC(=O)O,10.21
Cc1ccc(N)cc1C,5.18
C=CCNc1ccccc1,4.54
O=C(O)c1cscn1,0.06
Cc1nnc(N)nc1C,4.55
Cc1cccc(C)c1N,4.31
CN=c1cccccc1S,8.45
Oc1ccc(Br)cn1,0.63
CCCCNC1=NCCS1,9.17
CSc1nnc(S)n1N,1.5
CSc1nncc(O)n1,1.26
CCCCCc1cccnc1,5.56
Nc1ccc(F)cc1F,2.41
CCCCNCC1CCCO1,10.09
Cc1ccc(N)cc1O,4.48
CN(C)CCCNCCCN,10.31
CNCC(N)C(=O)O,9.86
Cc1c(N)cccc1N,5.28
COc1cccc(N)c1,4.01
NNc1nnc(S)n1N,3.68
COCCCn1cnnc1S,1.84
Oc1ncc(I)cc1I,0.14
CN(C)C1CSSSC1,8.07
Cc1cccc(N)c1C,4.67
CC(=O)n1ccnc1,2.69
NC(=O)C1CCCN1,9.81
COc1ccccc1CNN,5.11
COC(=O)C(N)CS,7.07
CCCCNc1ncccn1,3.43
C=CCNc1ncccn1,3.38
CCn1nc(C)cc1N,4.48
NNc1cccc(F)n1,5.9
Nc1cc(F)ccc1O,3.2
c1nnc2n1CCCC2,2.61
CC(C)OCC(O)CN,9.52
CC(C)N1CCNCC1,9.52
CNc1ccc(O)cc1,6.07
CC(C)(C)CNCCO,10.04
NCCNCC1CCNCC1,10.65
N=C(N)C1CCCO1,11.36
N=C(N)C1CCCS1,11.45
N=C(N)C1CCCN1,11.36
CCCCCC1CCNCC1,10.36
CC(C)Cc1nccs1,3.43
CN(O)c1ccccn1,5.51
OCc1ccc(O)cn1,4.82
Nc1cncc(N)c1N,9.62
CSc1nsc(NN)n1,3.57
CSC1=NC=CCN1C,8.84
NC(CNO)C(=O)O,8.35
CN1CCOC1(C)CO,6.19
C1CC2CCC1CNC2,10.81
